date,importer,product_en,product_name,product_type_en,country_origin_en,importer_ko,importer_en,notes
2023-08-14,(주)한국인삼공사,DRIED RED DEER VELVET ANTLER,건조녹용,Deer velvet (dried),New Zealand,(주)한국인삼공사,KGC,
2023-08-02,주식회사 비봉허브,DEER HORN,녹용,Deer velvet (dried),New Zealand,주식회사 비봉허브,Bibong Herb,
2023-07-25,와이더블유 인터내셔날,FROZEN RED DEER VELVET ANTLER(WHOLE),냉동녹용,Deer velvet (frozen),New Zealand,와이더블유 인터내셔날,YW International,
2023-07-25,화용제약,DEER HORN,녹용,Deer velvet (dried),New Zealand,화용제약,HwaYong Pharm.,
2023-07-25,천지담은 바이오,DEER HORN,녹용,Deer velvet (dried),New Zealand,천지담은 바이오,CheonJi Bio,
2023-07-25,향나바이오 주식회사,DEER HORN,녹용,Deer velvet (dried),New Zealand,향나바이오 주식회사,Hyangna Bio,
2023-07-25,(주)케이앤씨디어트레이드,DRIED RED DEER VELVET ANTLER,건조녹용,Deer velvet (dried),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2023-07-25,(주)한국인삼공사,DRIED RED DEER VELVET ANTLER,건조녹용,Deer velvet (dried),New Zealand,(주)한국인삼공사,KGC,
2023-07-25,와이더블유 인터내셔날,FROZEN RED DEER VELVET (WHOLE),냉동녹용,Deer velvet (frozen),New Zealand,와이더블유 인터내셔날,YW International,
2023-07-14,(주)케이앤씨디어트레이드,DRIED RED DEER VELVET ANTLER,건조녹용,Deer velvet (dried),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2023-07-12,주식회사 이룡제약,DEER HORN,녹용,Deer velvet (dried),New Zealand,주식회사 이룡제약,Eryong Pharm.,
2023-07-11,화용제약,FROZEN DEER HORN,생녹용(냉동),Deer velvet (frozen),New Zealand,화용제약,HwaYong Pharm.,
2023-07-03,(주)한국인삼공사,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,(주)한국인삼공사,KGC,
2023-06-28,(주)한국인삼공사,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),Deer velvet (frozen),New Zealand,(주)한국인삼공사,KGC,
